kode;Keterangan
1027;Pajak Masukan Pemanfaatan JKP Luar Daerah Pabean
1033;Pajak Pertambahan Nilainya tidak dipungut/ ditunda/ ditangguhkan/ dibebaskan/ ditanggung pemerintah
1004;Ekualisasi DPP SPT Masa PPN dengan Peredaran Usaha SPT Tahunan PPh Badan
1001;"BKP tertentu yang bersifat strategis Pajak Masukan tidak dapat dikreditkan;"
1049;Penyerahan yang PPN-nya harus dipungut sendiri
1011;Kelebihan Pajak dikompensasikan ke Masa Pajak berikutnya
1010;Kegiatan Membangun Sendiri
1003;DPP Penyerahan PPN dipungut sendiri
1037;Penghasilan merupakan Reimbursement
1021;Koreksi Pemberian Cuma-Cuma
1048;Penyerahan solar yang tidak dikenakan PPN 
1032;Pajak Masukan tidak mempunyai hubungan langsung
1034;Pemanfaatan BKP tidak berwujud dari Luar Daerah Pabean
1044;Penyerahan aktiva yang menurut tujuan semula tidak untuk diperjualbelikan.
1026;Pajak Masukan kegiatan usaha perkebungan kelapa sawit - penyerahannya dibebaskan dari pengenaan PPN
1070;Reklas Penyerahan Ekspor menjadi Penjualan Lokal
1005;faktur pajak standar yang dicatat di GL tahun sebelumnya
1055;PPN Insentif/Rabat/Rafraksi
1013;Konfirmasi yang dijawab tidak ada
1031;Pajak Masukan Tidak Dapat Dikreditkan
1015;Koreksi DPP atas penghasilan Jasa Penambangan
1020;Koreksi Pajak Keluaran karena Sebab lain
1042;Penjualan Aktiva Tetap Pasal 16 D 
1030;Pajak Masukan PPN JLN dari Komisi Penjualan
1052;PPN atas Batu Bara 
1023;Pajak Masukan atas pembibitan, penanaman dan pengangkutan kayu hutan
1038;Pengujian kewajaran transaksi hubungan istimewa
1067;PPN Potongan Premi Asuransi
1029;Pajak Masukan pemeliharaan kebun 
1063;Ppn Pendapatan Diskon Asuransi
1065;PPN Penjualan Gas Kondensat - Industri Minyak & Gas
1036;Pengenaan Sanksi Administrasi Pasal 13 ayat (3) UU KUP kenaikan 100%
1054;PPN dipungut sendiri atas Warranty
1043;Penjualan yang Berasal dari Koreksi Negatif Pembelian
1012;Konfirmasi Negatif Pajak Masukan 
1018;Koreksi Nota Retur
1006;Faktur Pajak tidak memenuhi syarat formal
1014;Koreksi biaya bunga
1040;Pengurangan Atau Penghapusan Sanksi Administrasi Atas STP PPN
1041;Pengurangan atau Penghapusan Sanksi Administrasi STP PPN
1051;Perbedaan Interpretasi Penyerahan BKP/JKP
1062;PPN komisi penjualan CIF
1008;gugatan terhadap Penerbitan Surat Paksa
1071;Reklas PPN tidak dipungut PPN harus dipungut sendiri
1002;double pencatatan atas faktur penjualan yang sama
1060;PPN JLN Royalti dan Technical Assistance Fee
1050;Penyerahan yang semula tidak terutang
1059;"PPN JLN Management Services dan Royalty;"
1069;Reklas dari Ekspor menjadi PPN Dipungut Sendiri
1017;Koreksi Jasa Maklon
